,date,label,latitude,longitude,xnorm,ynorm,bird
110,20/02/2024,"DJI_0729(M:2,F:0,O:0)",1.970392537,43.42539997,1,0,Males
115,20/11/2023,"DJI_0311(M:1,F:0,O:1)",3.971276847,52.00448781,5,4,Males
245,21/03/2024,"DJI_0014(M:0,F:1,O:0)",4.863942069,44.45031148,5,3,Females
119,21/03/2024,"DJI_0035(M:1,F:0,O:0)",3.896456377,46.02934411,5,2,Males
120,21/03/2024,"DJI_0038(M:1,F:1,O:0)",3.903711367,44.15450775,5,1,Males
246,21/03/2024,"DJI_0038(M:1,F:1,O:0)",3.903711367,44.15450775,5,1,Females
355,21/03/2024,"DJI_0042(M:0,F:0,O:1)",2.924142503,45.01176129,1,1,Others
357,23/10/2023,"DJI_0005(M:0,F:0,O:1)",4.722496038,48.48033295,6,4,Others
131,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,4,2,Males
249,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,4,2,Females
250,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,3,2,Females
251,25/03/2024,"DJI_0092(M:6,F:3,O:0)",3.87781875,49.91876154,3,2,Females
266,27/12/2023,"DJI_0504(M:2,F:1,O:0)",3.405288376,48.62993768,1,2,Females
267,27/12/2023,"DJI_0505(M:0,F:1,O:0)",3.403725701,47.99670446,2,2,Females
175,27/12/2023,"DJI_0506(M:2,F:0,O:0)",3.405102218,46.73317624,1,2,Males
176,27/12/2023,"DJI_0506(M:2,F:0,O:0)",3.405102218,46.73317624,2,2,Males
177,27/12/2023,"DJI_0507(M:3,F:0,O:0)",3.402694055,46.10048629,1,2,Males
178,27/12/2023,"DJI_0507(M:3,F:0,O:0)",3.402694055,46.10048629,1,2,Males
179,27/12/2023,"DJI_0507(M:3,F:0,O:0)",3.402694055,46.10048629,1,2,Males
180,27/12/2023,"DJI_0508(M:1,F:0,O:1)",3.402756161,45.47107014,1,2,Males
436,27/12/2023,"DJI_0508(M:1,F:0,O:1)",3.402756161,45.47107014,1,2,Others
181,27/12/2023,"DJI_0509(M:1,F:0,O:0)",3.401771632,44.83776111,1,2,Males
182,27/12/2023,"DJI_0510(M:2,F:0,O:0)",3.396218092,44.24229087,1,2,Males
183,27/12/2023,"DJI_0510(M:2,F:0,O:0)",3.396218092,44.24229087,2,2,Males
268,27/12/2023,"DJI_0526(M:0,F:1,O:0)",1.482525583,49.27897516,1,0,Females
184,27/12/2023,"DJI_0527(M:4,F:1,O:0)",1.487937535,48.63152629,1,0,Males
185,27/12/2023,"DJI_0527(M:4,F:1,O:0)",1.487937535,48.63152629,1,0,Males
186,27/12/2023,"DJI_0527(M:4,F:1,O:0)",1.487937535,48.63152629,1,0,Males
187,27/12/2023,"DJI_0527(M:4,F:1,O:0)",1.487937535,48.63152629,1,0,Males
269,27/12/2023,"DJI_0527(M:4,F:1,O:0)",1.487937535,48.63152629,1,0,Females
275,30/01/2024,"DJI_0646(M:0,F:1,O:0)",2.908198195,46.92374864,1,1,Females
211,30/01/2024,"DJI_0649(M:2,F:1,O:0)",2.895514468,48.78514816,2,1,Males
212,30/01/2024,"DJI_0649(M:2,F:1,O:0)",2.895514468,48.78514816,5,1,Males
276,30/01/2024,"DJI_0649(M:2,F:1,O:0)",2.895514468,48.78514816,4,1,Females
213,30/01/2024,"DJI_0650(M:4,F:1,O:0)",2.890065579,49.40632825,2,1,Males
214,30/01/2024,"DJI_0650(M:4,F:1,O:0)",2.890065579,49.40632825,2,1,Males
215,30/01/2024,"DJI_0650(M:4,F:1,O:0)",2.890065579,49.40632825,2,1,Males
216,30/01/2024,"DJI_0650(M:4,F:1,O:0)",2.890065579,49.40632825,2,1,Males
277,30/01/2024,"DJI_0650(M:4,F:1,O:0)",2.890065579,49.40632825,2,1,Females
279,06/05/2024,"DJI_0178(M:0,F:0,O:1)",2.898761961,46.97604565,2,1,Others
280,13/03/2024,"DJI_0050(M:3,F:0,O:1)",3.888004035,45.44421684,6,2,Others
281,13/03/2024,"DJI_0051(M:0,F:0,O:1)",3.889397305,44.82178696,2,2,Others
283,16/11/2023,"DJI_0020(M:0,F:0,O:2)",4.142706674,46.79508872,5,3,Others
284,16/11/2023,"DJI_0022(M:0,F:0,O:1)",4.141362155,47.55560871,6,3,Others
285,16/11/2023,"DJI_0023(M:0,F:0,O:2)",4.138795493,47.92913789,6,3,Others
286,16/11/2023,"DJI_0023(M:0,F:0,O:2)",4.138795493,47.92913789,5,3,Others
287,16/11/2023,"DJI_0035(M:0,F:0,O:1)",3.558211458,48.19926371,5,2,Others
288,16/11/2023,"DJI_0040(M:0,F:0,O:1)",3.563970024,46.31578497,5,2,Others
289,16/11/2023,"DJI_0042(M:0,F:0,O:1)",3.574825668,45.55920688,2,2,Others
290,16/11/2023,"DJI_0044(M:0,F:0,O:1)",3.563063862,44.80742785,1,2,Others
291,16/11/2023,"DJI_0050(M:0,F:0,O:1)",2.985512953,45.00544403,1,1,Others
292,16/11/2023,"DJI_0072(M:0,F:0,O:1)",2.410409591,46.41212363,2,1,Others
293,16/11/2023,"DJI_0086(M:0,F:0,O:5)",4.716193536,48.48252577,6,3,Others
294,16/11/2023,"DJI_0086(M:0,F:0,O:5)",4.716193536,48.48252577,5,3,Others
295,16/11/2023,"DJI_0086(M:0,F:0,O:5)",4.716193536,48.48252577,5,3,Others
296,16/11/2023,"DJI_0086(M:0,F:0,O:5)",4.716193536,48.48252577,5,3,Others
297,16/11/2023,"DJI_0086(M:0,F:0,O:5)",4.716193536,48.48252577,5,3,Others
298,16/11/2023,"DJI_0088(M:0,F:0,O:2)",4.713092807,47.72846952,5,3,Others
299,16/11/2023,"DJI_0088(M:0,F:0,O:2)",4.713092807,47.72846952,5,3,Others
300,16/11/2023,"DJI_0089(M:0,F:0,O:1)",4.714824084,47.35292238,5,3,Others
301,16/11/2023,"DJI_0095(M:0,F:0,O:3)",4.721984915,45.08624263,5,3,Others
302,16/11/2023,"DJI_0095(M:0,F:0,O:3)",4.721984915,45.08624263,5,3,Others
303,16/11/2023,"DJI_0095(M:0,F:0,O:3)",4.721984915,45.08624263,5,3,Others
304,16/11/2023,"DJI_0098(M:0,F:0,O:1)",4.141696922,45.29319684,5,3,Others
305,16/11/2023,"DJI_0102(M:0,F:0,O:1)",4.136822111,46.79426902,5,3,Others
306,16/11/2023,"DJI_0105(M:0,F:0,O:2)",4.136728009,47.92669341,6,3,Others
307,16/11/2023,"DJI_0105(M:0,F:0,O:2)",4.136728009,47.92669341,6,3,Others
308,16/11/2023,"DJI_0107(M:0,F:0,O:2)",4.135248539,48.67787359,5,3,Others
309,16/11/2023,"DJI_0107(M:0,F:0,O:2)",4.135248539,48.67787359,6,3,Others
310,16/11/2023,"DJI_0111(M:0,F:0,O:1)",4.141587473,50.19468559,5,3,Others
313,16/11/2023,"DJI_0126(M:0,F:0,O:2)",3.569951215,45.18353998,1,2,Others
314,16/11/2023,"DJI_0126(M:0,F:0,O:2)",3.569951215,45.18353998,4,2,Others
315,16/11/2023,"DJI_0132(M:0,F:0,O:2)",2.987312079,45.00465463,1,1,Others
316,16/11/2023,"DJI_0132(M:0,F:0,O:2)",2.987312079,45.00465463,1,1,Others
317,16/11/2023,"DJI_0140(M:0,F:0,O:1)",2.983660304,48.01689633,2,1,Others
318,16/11/2023,"DJI_0151(M:0,F:0,O:1)",2.412553776,47.53932498,2,1,Others
319,16/11/2023,"DJI_0154(M:0,F:0,O:1)",2.413352873,46.40634115,2,1,Others
320,16/11/2023,"DJI_0170(M:0,F:0,O:4)",4.708791706,48.10222613,6,3,Others
321,16/11/2023,"DJI_0170(M:0,F:0,O:4)",4.708791706,48.10222613,6,3,Others
